Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
27371,11/11/2017,Trash - Curbside/Alley Missed Pickup,failure to pick trash up on 11/10/17-didn't do Southern Way or Daisy Trail,3600 Southern Way,37013,RED RIVER,3502,33,1792244.46,635113.1897
27385,11/12/2017,Trash - Curbside/Alley Missed Pickup,Trash was not picked up on designated day. Metro water contractor BLD frequently blocks my curb.,3288 New Towne rd,37013,RED RIVER,3503,33,1789770.668,633416.7553
27509,11/13/2017,Trash - Curbside/Alley Missed Pickup,"Curb trash miss for some people, Friday.",3401 Daisy Trl,37013,RED RIVER,3502,33,1791034.02,635122.8507
27518,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed pickup for the entire street,809 DRESDEN CT,37013,RED RIVER,3502,33,1790941.276,635422.3457
27524,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed. Entire cul de sac was missed.,3217 oakview ct,37013,RED RIVER,3504,33,1788890.144,634798.6964
27538,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed.,908 Kalvesta Ct,37013,RED RIVER,3502,33,1791235.626,635419.5655
27551,11/13/2017,Trash Collection Complaint,Missed.,925 Kalvesta Ct,37013,RED RIVER,3502,33,1791524.843,635540.6102
27558,11/13/2017,Trash Collection Complaint,"Missed entire court, Trash wants a call back on this matter. Friday.",925 Kalvesta Ct,37013,RED RIVER,3502,33,1791524.843,635540.6102
27583,11/13/2017,Trash - Curbside/Alley Missed Pickup,missed pickup; customer says the entire street may have been missed,3312 TOWNESHIP RD,37013,RED RIVER,3504,33,1789449.765,632514.4018
27595,11/13/2017,Trash - Curbside/Alley Missed Pickup,trash missed - other missed in area,3604 southern way,37013,RED RIVER,3502,33,1792206.733,635064.6831
27645,11/13/2017,Trash - Curbside/Alley Missed Pickup,Customer says the trash was missed for the entire week,813 DRESDEN CT,37013,RED RIVER,3502,33,1790856.994,635460.4981
27648,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed pick up,3429 Daisy Trl,37013,RED RIVER,3502,33,1791523.513,635116.4514
27678,11/13/2017,Trash - Curbside/Alley Missed Pickup,The whole street missed for last Friday/pickup. Curb,3300 Hamilton Church Rd,37013,RED RIVER,3504,33,1787670.034,630540.5309
27688,11/13/2017,Trash - Curbside/Alley Missed Pickup,Curb/trash miss last Friday. Check for others.,3524 daisy trl,37013,RED RIVER,3502,33,1792734.83,635043.4827
27705,11/13/2017,Trash Collection Complaint,"8 houses missed last Thursday, Every other week this street gets missed often. Thursday. Curb",161 Tusculum Rd,37013,RED RIVER,3404,30,1764032.163,627040.0023
27729,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed trash for the entire street,3436 DAISY TRL,37013,RED RIVER,3502,33,1791668.834,635239.0038
27745,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed.,929 Kalvesta Ct,37013,RED RIVER,3502,33,1791570.564,635477.6025
27760,11/13/2017,Trash - Curbside/Alley Missed Pickup,Missed pickup again for the entire street,2731 Murfreesboro Pike,37013,RED RIVER,4502,32,1781139.363,632445.6024
27812,11/14/2017,Trash - Curbside/Alley Missed Pickup,MISSED PICK UP - OTHERS MISSED IN AREA,5409 ASHBY DR,37013,RED RIVER,4502,32,1780940.935,629794.3154
27834,11/14/2017,Trash - Curbside/Alley Missed Pickup,Missed.,3433 DAISY TRL,37013,RED RIVER,3502,33,1791599.723,635117.237
27835,11/14/2017,Trash - Curbside/Alley Missed Pickup,Customer says the street was missed,3525 DAISY TRL,37013,RED RIVER,3502,33,1792713.616,634917.4437
27836,11/14/2017,Trash Collection Complaint,"missed pick up - missed entire street - 
(615) 366-5864",3312 HAMILTON CHURCH RD,37013,RED RIVER,3504,33,1787790.014,630357.662
27844,11/14/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,5312 bell crest dr,37013,RED RIVER,4502,32,1780612.164,630313.6009
28823,11/17/2017,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 SHAKERVILLE CT,37013,RED RIVER,3502,33,1790915.38,637226.174
28845,11/17/2017,Trash - Curbside/Alley Missed Pickup,missed pick up {check for others},3570 GONDOLA DR,37013,RED RIVER,3502,33,1791266.675,637263.4874
28848,11/17/2017,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 Moss Rd.,37013,,,28,1772181.599,628840.1699
28849,11/17/2017,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 Moss Rd.,37013,,,28,1772181.599,628840.1699
28850,11/17/2017,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 Moss Rd.,37013,,,28,1772181.599,628840.1699
28851,11/17/2017,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 Moss Rd.,37013,,,28,1772181.599,628840.1699
28859,11/17/2017,Trash - Curbside/Alley Missed Pickup,cust says trash was missed for the entire neighborhood,3210 AGATHA CT,37013,RED RIVER,3502,33,1790632.047,637158.3936
28860,11/17/2017,Trash - Curbside/Alley Missed Pickup,cust says trash was missed,3572 gondola dr,37013,RED RIVER,3502,33,1791395.231,637331.4657
28863,11/17/2017,Trash - Curbside/Alley Missed Pickup,They skipped my house for trash pickup,605 Welshcrest Pl,37013,RED RIVER,4504,32,1776990.166,632123.5495
28982,11/20/2017,Trash - Curbside/Alley Missed Pickup,"Upset trash/out night before and still getting missed, Friday's. Curb {Trash} Complaint 2 weeks. Wants cart emptied.",3401 Country Way Rd,37013,RED RIVER,3503,33,1790588.964,634434.3852
29020,11/20/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3534 gondola dr,37013,RED RIVER,3502,33,1790346.506,637236.4358
29028,11/20/2017,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 SHAKERVILLE CT,37013,RED RIVER,3502,33,1790915.38,637226.174
29031,11/20/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3207 agatha ct,37013,RED RIVER,3502,33,1790663.306,637179.1508
29078,11/20/2017,Trash - Curbside/Alley Missed Pickup,The whole street miss for last Friday. Trash wants carts to be emptied before this Friday.,3715 Folkstone Dr,37013,RED RIVER,3502,33,1791716.795,637371.682
29117,11/20/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,3548 gondola dr,37013,RED RIVER,3502,33,1790730.512,637318.4019
29146,11/20/2017,Trash - Curbside/Alley Missed Pickup,Missed. States has been missed twice in two weeks.,1312 Rice Hill Cir,37013,RED RIVER,4504,32,1779104.044,631484.6955
29236,11/20/2017,Trash - Curbside/Alley Missed Pickup,3554 Gondola Dr. Missed one side of the road.,3554 Gondola Dr,37013,RED RIVER,3502,33,1790853.947,637296.1785
29237,11/20/2017,Trash - Curbside/Alley Missed Pickup,customer says half the neighborhood was missed,3403 SHAKERVILLE CT,37013,RED RIVER,3502,33,1791033.963,637196.4352
29293,11/21/2017,Trash - Curbside/Alley Missed Pickup,Missed.,405 London Ct,37013,RED RIVER,4502,28,1773990.799,636513.5043
29311,11/21/2017,Trash - Curbside/Alley Missed Pickup,Missed,4725 Greystone St,37013,RED RIVER,4410,33,1797482.555,622124.9879
29874,11/27/2017,Damage to Property,back door pick up - said truck drove over 2 lights in driveway broken off,4627 Fanning Dr,37013,RED RIVER,4505,28,1769454.565,633049.6026
29877,11/27/2017,Trash - Curbside/Alley Missed Pickup,Missed.,3012 Kinwood Dr,37013,,,29,1783768.163,632277.6018
29899,11/27/2017,Trash - Curbside/Alley Missed Pickup,cust says the entire street was missed,3604 green garden ct,37013,RED RIVER,3503,33,1791175.937,633461.1309
29981,11/27/2017,Trash - Curbside/Alley Missed Pickup,Missed.,140 Colemont Dr,37013,RED RIVER,3404,30,1763259.365,629772.8023
30044,11/27/2017,Trash - Curbside/Alley Missed Pickup,MISSED PICK UP  - OTHERS MISSED IN AREA,760 PIPPIN DR,37013,RED RIVER,4504,28,1775549.895,629604.7622
30097,11/27/2017,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,4008 pineorchard pl,37013,RED RIVER,4510,32,1784917.331,624166.2949
30589,11/29/2017,Trash - Curbside/Alley Missed Pickup,"cust says pickup was missed for one side of the street, but not the other",4100 Tea Garden Way,37013,RED RIVER,3504,33,1787449.764,630931.2011
31046,12/1/2017,Trash - Backdoor,Paid Backdoor- missed. Cart under the tree in the front yard.,70 Tusculum Rd,37013,RED RIVER,4405,30,1767560.964,626590.4027
31164,12/1/2017,Damage to Property,"Truck some-how got caught to the wire line, of some sort. Utility line. Just so someone knows about this. Be Recorded {wire is hanging very low} beside the house cul-de sac. {Safety Hazard}",4705 Crystal Brook Dr,37013,RED RIVER,4405,32,1768354.009,621621.9974
31428,12/4/2017,Trash - Curbside/Alley Missed Pickup,missed trash pick up- caller states this happens frequently-,4864 payne rd,37013,RED RIVER,4505,28,1770205.765,629932.8027
31747,12/5/2017,Trash Collection Complaint,paid back door service - said driveway is new and wants trash representative to not take truck onto driveway 30 days and instead to have then walk down driveway and pick up trash manually - please call 615-832-0797,70 Tusculum Rd,37013,RED RIVER,4405,30,1767560.964,626590.4027
32333,12/8/2017,Trash - Curbside/Alley Missed Pickup,Missed- trash,204 brenda cir,37013,RED RIVER,3404,30,1764320.965,629898.402
32335,12/8/2017,Trash - Curbside/Alley Missed Pickup,Missed-trash,70 Tusculum Rd,37013,RED RIVER,4405,30,1767560.964,626590.4027
32449,12/8/2017,Trash Collection Complaint,Customer said when her trash was dumped today some of the bags fell off in front of her driveway and she had to leave work to clean up mess.,3413 Doriswood Ct,37013,RED RIVER,3504,33,1789046.65,634976.2544
32481,12/8/2017,Trash - Curbside/Alley Missed Pickup,trash was missed for the street,3436 Towne Village Rd,37013,RED RIVER,3503,33,1791306.564,634503.2025
32593,12/11/2017,Trash - Curbside/Alley Missed Pickup,Missed.-trash,3005 Woodymore Pl,37013,RED RIVER,3502,29,1788155.576,635248.2545
32602,12/11/2017,Trash Collection Complaint,Missed- says is constantly missed. He is irritated because he sees the trash truck ride by his house but they don't stop. Curbside pickup.,5550 Mt View Rd,37013,RED RIVER,4504,32,1780680.164,622557.6019
32680,12/11/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4088 PineOrchard Pl,37013,RED RIVER,4510,32,1785825.993,624654.0826
32849,12/12/2017,Trash - Curbside/Alley Missed Pickup,"Missed- Trash
added notes by G. A. upset never had a problem until recently. He was told everything has to be in trash/bags. He just wants this pick up.",4012 Tea garden way,37013,RED RIVER,3504,33,1787629.764,631239.2008
32880,12/12/2017,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,6600 Ascot Dr,37013,RED RIVER,3503,33,1795058.285,633130.9315
32965,12/12/2017,Damage to Property,trash truck knocked box off mailbox post- caller set the box on mailbox post but it is not fixed. caller thinks it can be fixed with same box and post.,1217 curran ct,37013,RED RIVER,3504,29,1785017.164,631451.9114
33195,12/13/2017,Trash Collection Complaint,caller has 2 standardized issued carts- for past 2 weeks only one cart has been picked up and emptied.,3512 country way rd,37013,RED RIVER,3503,33,1791952.655,634106.5663
33235,12/13/2017,Trash Collection Complaint,caller has had backdoor waiver pick up since aug 2017- caller states trash is not getting picked up at backdoor (side of house) as it should be-caller is elderly and disabled.,3909 parks retreat dr,37013,RED RIVER,4210,33,1792805.62,618767.2209
33445,12/14/2017,Trash - Curbside/Alley Missed Pickup,Missed.,416 Shoreline Cir,37013,RED RIVER,4310,33,1795545.779,626962.1065
33510,12/14/2017,Trash - Curbside/Alley Missed Pickup,missed trash pick up,416 SHORELINE CIR,37013,RED RIVER,4310,33,1795545.779,626962.1065
33570,12/14/2017,Trash - Curbside/Alley Missed Pickup,cust says a lot of carts were not picked up,509 Janice Dr,37013,RED RIVER,4404,31,1763447.365,624327.2016
33578,12/15/2017,Trash - Curbside/Alley Missed Pickup,3424 hamilton church rd is not getting the trash pick up service. I have called twice and yet nothing has change.,3424 Hamilton Church Rd,37013,RED RIVER,3504,33,1789502.564,629742.4026
33636,12/15/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4229 Kevinwood Ct,37013,RED RIVER,4504,28,1772752.075,627876.8113
33677,12/15/2017,Trash - Curbside/Alley Missed Pickup,Missed.,5329 Flagstone Dr,37013,RED RIVER,4410,33,1798244.964,621021.6025
33691,12/15/2017,Trash Collection Complaint,Has been missed twice in a row.,3077 Brantley Dr,37013,RED RIVER,3505,29,1787391.363,635975.2009
33773,12/15/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4813 TRAPPERS RDG,37013,RED RIVER,4501,28,1770958.564,633424.8029
33774,12/15/2017,Damage to Property,mail box knocked over,828 richards rd,37013,RED RIVER,4505,28,1769678.469,632319.1201
33779,12/15/2017,Trash - Curbside/Alley Missed Pickup,Missed pickup,5550 Mt View Rd,37013,RED RIVER,4504,32,1780680.164,622557.6019
33782,12/15/2017,Trash - Backdoor,Missed.,3401 Anderson Rd 30,37013,RED RIVER,4506,33,1789652.301,637901.9774
33786,12/15/2017,Trash - Curbside/Alley Missed Pickup,Missed.,2805 Lera Jones Dr,37013,RED RIVER,3505,29,1784947.226,636202.7205
33976,12/18/2017,Trash - Curbside/Alley Missed Pickup,Missed. Trash is full. Multiple houses missed,440 London Ct,37013,RED RIVER,4502,28,1774050.546,635941.8371
34019,12/18/2017,Trash - Curbside/Alley Missed Pickup,Missed.,2944 Walnut Crest Dr,37013,RED RIVER,4503,29,1783518.565,632722.401
34173,12/19/2017,Damage to Property,mailbox hit by trash truck and now it wont close,4608 dowdy dr,37013,RED RIVER,4501,28,1770256.067,633114.5312
34760,12/21/2017,Trash - Curbside/Alley Missed Pickup,Missed.,4045 Keeley Dr,37013,RED RIVER,3404,30,1763418.739,628557.6929
34925,12/22/2017,Trash - Curbside/Alley Missed Pickup,missed pickup,4648 DOWDY DR,37013,RED RIVER,4501,28,1770594.739,632855.294
35119,12/27/2017,Trash - Curbside/Alley Missed Pickup,TRASH DIDNT GET PICKED UP ON FRIDAY,1754 Sprucedale Dr,37013,RED RIVER,4510,32,1787323.287,621089.2872
35131,12/27/2017,Trash - Curbside/Alley Missed Pickup,TRASH NOT PICKED UP,3340 oak timber dr,37013,RED RIVER,3504,33,1788046.724,631258.685
35147,12/27/2017,Trash - Curbside/Alley Missed Pickup,"Curb trash/miss last Friday, at the very end of the complex.",1754 Sprucedale Dr,37013,RED RIVER,4510,32,1787323.287,621089.2872
35262,12/27/2017,Trash - Curbside/Alley Missed Pickup,missed pickup,4648 DOWDY DR,37013,,,28,1770594.89,632853.6772
35269,12/27/2017,Trash Collection Complaint,missed last week - please do not forget to pick up Friday this week,4648 DOWDY DR,37013,RED RIVER,4501,28,1770594.89,632853.6772
35645,12/28/2017,Trash - Curbside/Alley Missed Pickup,Missed,405 Terrapin Trl,37013,RED RIVER,4310,33,1794109.194,623408.6538
35819,12/29/2017,Trash - Curbside/Alley Missed Pickup,Missed. Says she thinks due to ongoing construction.,1752 SPRUCEDALE DR,37013,RED RIVER,4510,32,1787328.671,621073.1417
35839,12/29/2017,Trash Collection Complaint,neighborhood picked up skipped over his cart,328 CEDARCLIFF RD,37013,RED RIVER,4503,29,1784489.143,633199.2953
35908,12/29/2017,Trash - Curbside/Alley Missed Pickup,wants trash picked up today before 4:30 wants spvr on phone now !,5550 Mt View Rd,37013,RED RIVER,4504,32,1780679.999,622560.7411
35910,12/29/2017,Trash - Curbside/Alley Missed Pickup,cust says the entire area was missed,204 new towne ct,37013,RED RIVER,3503,33,1789161.942,633748.8956
35911,12/29/2017,Trash Collection Complaint,cust is upset that trash hasn't been picked up yet today,204 new towne ct,37013,RED RIVER,3503,33,1789160.545,633748.2547
35912,12/29/2017,Trash - Backdoor,Missed.,2542 Una Antioch Pike,37013,RED RIVER,4505,28,1772385.94,629716.8934
35918,12/29/2017,Trash - Curbside/Alley Missed Pickup,Missed.,208 New Towne Ct,37013,RED RIVER,3503,33,1789089.484,633726.8534
35929,12/30/2017,Trash - Curbside/Alley Missed Pickup,Failed to pick up garbage at several houses at the end of Daisy Trail. This has happened several times in the past few weeks. Please address.,3521 Daisy Trl,37013,RED RIVER,3502,33,1792638.103,634947.8256
35949,12/30/2017,Trash - Curbside/Alley Missed Pickup,no trash pick up  usual day is friday  did not come saturday either the whole street was not picked up,xavier dr,37013,,,28,1769160.373,634962.0553
36121,1/2/2018,Trash - Curbside/Alley Missed Pickup,missed pickup,2960 kinwood dr,37013,RED RIVER,4503,29,1783707.543,632900.8946
36147,1/2/2018,Trash - Curbside/Alley Missed Pickup,missed pick up- missed entire street per caller.,4544 xavier dr,37013,RED RIVER,4505,28,1769602.609,634474.4708
36199,1/2/2018,Trash - Curbside/Alley Missed Pickup,Trash missed. Trash is continually missed the past couple weeks. Neighbors also missed,1754 Sprucedale Dr,37013,RED RIVER,4510,32,1787322.849,621087.7394
36203,1/2/2018,Trash - Curbside/Alley Missed Pickup,missed pick up- missed entire street,4588 xavier dr,37013,RED RIVER,4505,28,1770193.94,633963.2941
36210,1/2/2018,Trash - Curbside/Alley Missed Pickup,missed pickup for the entire street,4593 XAVIER DR,37013,RED RIVER,4505,28,1770063.302,633967.9778
36227,1/2/2018,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,106 PEPPER RIDGE CIR,37013,RED RIVER,4506,28,1772271.549,634720.3633
36369,1/2/2018,Trash - Curbside/Alley Missed Pickup,"Trash man went through the neighborhood, but completely missed our street.  People have trash piled up in bins and trash bags on ground next to trash can.",4580 Xavier Dr,37013,RED RIVER,4505,28,1770117.14,634104.0947
37012,1/4/2018,Trash - Curbside/Alley Missed Pickup,cust says the street was missed,1314 barnes rd,37013,RED RIVER,4403,31,1758686.737,619501.6913
37013,1/4/2018,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,1324 BARNES RD,37013,RED RIVER,4403,31,1758523.173,619593.2901
37018,1/4/2018,Trash - Backdoor,Missed.,133 valley green dr,37013,RED RIVER,4404,30,1763640.788,626185.6532
37153,1/5/2018,Trash - Curbside/Alley Missed Pickup,Missed.,617 Amelia Dr,37013,RED RIVER,4404,31,1762625.138,625024.894
37269,1/5/2018,Trash - Curbside/Alley Missed Pickup,Missed.,6348 paddington way,37013,RED RIVER,3503,33,1795615.803,633250.844
37526,1/8/2018,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,3117 Justin Towne Ct,37013,RED RIVER,3501,29,1788704.416,635487.529
38029,1/10/2018,Trash Collection Complaint,Lives in a cul de sac- the trash guy is placing all of the carts in one location and all of the residents are having to search for their carts after pick up. Says that she would like for the trash guy to put the carts back where he finds them to avoid this issue.,505 Pleasant Colony Ct,37013,RED RIVER,3504,33,1786941.209,631955.7602
38352,1/11/2018,Trash - Curbside/Alley Missed Pickup,missed pick up- missed several on street,4950 barella dr,37013,RED RIVER,3404,30,1766295.337,629137.4964
38596,1/12/2018,Trash - Curbside/Alley Missed Pickup,missed his trash cart only - picked up everyone else on street,1952 Wild oaks Ct,37013,RED RIVER,4504,32,1778751.09,624619.1879
38602,1/12/2018,Trash Collection Complaint,Mrs Walker states that every time the trash carts are emptied the driver is damaging her carts. In the process it is busting the bags and trash is being slung all over her driveway and street in front of her house. Customer has called Red River repeatedly. Mrs Walker wants a supervisor or manager. Contact phone is 6154764519,5853 mt view rd,37013,RED RIVER,4504,32,1784465.942,626527.2944
38606,1/12/2018,Trash - Backdoor,"cust says missed pickup
back door pick up",3117 Justin Towne Ct,37013,RED RIVER,3501,29,1788704.416,635487.529
38620,1/12/2018,Trash Collection Complaint,"missed 4 times in 6 weeks ....wants to get to the bottom of thie problem 
615-419-6467",4012 Tea garden way,37013,RED RIVER,3504,33,1787628.791,631242.3212
38638,1/12/2018,Trash - Curbside/Alley Missed Pickup,Watched trash truck go into our neighborhood and he bypassed our whole street. completely miss our street for trash pickup.This is what we pay property taxes for! I called public works and got the run-around completely. Was told to call back by 430pm.,3223 Oakview Ct,37013,RED RIVER,3504,33,1788983.5,634825.3998
39257,1/17/2018,Trash - Curbside/Alley Missed Pickup,"4200 Maxwell Rd, on street around that area.",4200 Maxwell Rd,37013,RED RIVER,4210,33,1795246.604,620890.6218
39270,1/17/2018,Trash - Curbside/Alley Missed Pickup,wants trash picked up today before 4:30 wants spvr on phone now ! this has been missed for 2 months,5550 Mt View Rd,37013,RED RIVER,4504,32,1780678.742,622560.0927
40292,1/19/2018,Trash - Curbside/Alley Missed Pickup,"Trash pickup was missed on 1/18, curb well before 7:00 am but was not picked up.",113 Panamint Dr,37013,RED RIVER,3404,30,1765210.301,628865.1307
40363,1/19/2018,Trash Collection Complaint,"We now have manual service, the long arm truch only pickup at the bottom the hill.  The dumpter are not placed back in the area where picked up, the driveway or in the yard.  once emplied they are just pushed with force back to curb and remain in street.  We have the issue of people hitting them when the wind blow them around in street.   today and every Friday, mine is removed from driveway and left in street for post office driver having to get out of vehicle to deliver the main or hold it until the next day.  And as I understand now if they are stolen or damage we are responsible for replacement at the tune of $47.  The renters on this street place theirs in the street because they don't basically care.   I wish they would be more considerate and place them back in same area that the were removed from.   Thank you",5549 Murphywood Xing,37013,RED RIVER,4504,32,1783763.475,621114.5025
40371,1/19/2018,Trash Collection Complaint,"Our trash dumpsters were left in front of our mailboxes today; therefore, the mail person is unable to deliver our mail. Also, each week the gentlemen that remove our trash leave our dumpsters wherever (typically out in the road with lids open). Why don't we have automatic truck pickup anymore? Thank you for looking into this situation.",5552 Murphywood Xing,37013,RED RIVER,4504,32,1783880.991,621151.6141
40416,1/19/2018,Trash - Curbside/Alley Missed Pickup,got everyone but hers,3155 justin towne ct,37013,RED RIVER,3501,29,1788137.942,635608.8953
40440,1/19/2018,Trash - Curbside/Alley Missed Pickup,705 tina ct didn't get this court,705 tina ct,37013,RED RIVER,4501,28,1772074.964,632733.7072
40466,1/19/2018,Trash - Curbside/Alley Missed Pickup,side of the street was missed,3100 anderson rd,37013,RED RIVER,3504,29,1786157.943,634018.4956
40467,1/19/2018,Trash Collection Complaint,side of the street was missed two weeks in a row,3100 anderson rd,37013,RED RIVER,3504,29,1786156.677,634018.2205
40477,1/19/2018,Trash - Curbside/Alley Missed Pickup,Trash not picked up,6625 ascot dr,37013,RED RIVER,3503,33,1795513.948,633107.944
